geneID	transcript_combos	deltaRRS	p_values	padj
ENSG00000003056	ENST00000000412 , ENST00000541507	-0.346972296110512	0.0124957061918976	0.0177771708924726
ENSG00000003137	ENST00000001146 , ENST00000461519	0.0683553648130758	0.351399634379174	0.386624351251524
ENSG00000003509	ENST00000002125 , ENST00000336237	-0.15046075198439	0.0129270334231696	0.0183346273424565
ENSG00000003509	ENST00000002125 , ENST00000416653	0.398221315800621	0.0423557617064639	0.0547464590093689
ENSG00000003509	ENST00000002125 , ENST00000431821	-0.747650615534142	3.40822042695994e-08	4.07123310931091e-07
ENSG00000003509	ENST00000002125 , ENST00000455230	-0.742017704454452	4.96890689493112e-08	5.42621755588808e-07
ENSG00000003509	ENST00000336237 , ENST00000416653	0.548682067785011	0.0128026248556191	0.0181720536871995
ENSG00000003509	ENST00000336237 , ENST00000431821	-0.597189863549753	1.31350823368231e-07	1.12793398587211e-06
ENSG00000003509	ENST00000336237 , ENST00000455230	-0.591556952470063	3.17657810026039e-07	2.23598764924122e-06
ENSG00000003509	ENST00000416653 , ENST00000431821	-1.14587193133476	0.00045082905193519	0.000891984249613363
ENSG00000003509	ENST00000416653 , ENST00000455230	-1.14023902025507	0.000402977995130694	0.000808131561729778
ENSG00000003509	ENST00000431821 , ENST00000455230	0.00563291107969	0.904755989562934	0.914428444652423
ENSG00000048028	ENST00000003302 , ENST00000537706	0.478971110828389	0.00614000726218418	0.00927133965338636
ENSG00000048028	ENST00000003302 , ENST00000540438	-0.0604027767617405	0.636602996488691	0.66702736600173
ENSG00000048028	ENST00000003302 , ENST00000544967	-0.0983118803701485	0.336372850196819	0.371537608887374
ENSG00000048028	ENST00000537706 , ENST00000540438	-0.53937388759013	0.00497178888831475	0.0076517581931909
ENSG00000048028	ENST00000537706 , ENST00000544967	-0.577282991198538	0.00203632734714895	0.00341075648547843
ENSG00000048028	ENST00000540438 , ENST00000544967	-0.037909103608408	0.759582047369597	0.781584978065068
ENSG00000002933	ENST00000004103 , ENST00000461345	-0.636747977881554	6.16505226543313e-06	2.34499252495308e-05
ENSG00000002933	ENST00000004103 , ENST00000468689	1.85483903949761	2.43600454967131e-07	1.82486287238702e-06
ENSG00000002933	ENST00000461345 , ENST00000468689	2.49158701737917	1.72250438971973e-07	1.38707213197561e-06
ENSG00000005801	ENST00000005082 , ENST00000354599	-0.241316103199991	0.108691944194167	0.130655445099012
ENSG00000005801	ENST00000005082 , ENST00000399602	0.464782432432209	0.00480940885268468	0.00742204641631134
ENSG00000005801	ENST00000005082 , ENST00000525313	1.16436848727637	6.22899530869692e-06	2.36585357897659e-05
ENSG00000005801	ENST00000005082 , ENST00000526501	-0.268262855377877	0.00995931984065982	0.0144276692014506
ENSG00000005801	ENST00000005082 , ENST00000526601	0.867628150328635	3.18145450427575e-06	1.37259167545583e-05
ENSG00000005801	ENST00000005082 , ENST00000528796	-0.046757143832232	0.590570603600494	0.622987416723601
ENSG00000005801	ENST00000005082 , ENST00000530643	-0.253941663320046	0.0131122517513978	0.0185760471853463
ENSG00000005801	ENST00000354599 , ENST00000399602	0.7060985356322	0.00103568761755757	0.00186366432053508
ENSG00000005801	ENST00000354599 , ENST00000525313	1.40568459047636	3.82984271679136e-06	1.59461281540447e-05
ENSG00000005801	ENST00000354599 , ENST00000526501	-0.0269467521778862	0.82936506338634	0.845402070262125
ENSG00000005801	ENST00000354599 , ENST00000526601	1.10894425352863	5.76697588669915e-05	0.000149758221318238
ENSG00000005801	ENST00000354599 , ENST00000528796	0.194558959367759	0.162442328507892	0.189468686397623
ENSG00000005801	ENST00000354599 , ENST00000530643	-0.0126255601200552	0.918022384534563	0.926394925395572
ENSG00000005801	ENST00000399602 , ENST00000525313	0.699586054844157	0.000674622321960457	0.00127294150413824
ENSG00000005801	ENST00000399602 , ENST00000526501	-0.733045287810086	0.000481979222648851	0.000946414721893629
ENSG00000005801	ENST00000399602 , ENST00000526601	0.402845717896426	0.00917511664386234	0.0133923533722751
ENSG00000005801	ENST00000399602 , ENST00000528796	-0.511539576264441	0.00273073810498332	0.00444056611668395
ENSG00000005801	ENST00000399602 , ENST00000530643	-0.718724095752255	0.00069130743121048	0.00130077254695238
ENSG00000005801	ENST00000525313 , ENST00000526501	-1.43263134265424	9.24302567043933e-06	3.26101972161145e-05
ENSG00000005801	ENST00000525313 , ENST00000526601	-0.296740336947732	0.0325235379628266	0.0428929313303619
ENSG00000005801	ENST00000525313 , ENST00000528796	-1.2111256311086	1.21196542369538e-05	4.07520043281099e-05
ENSG00000005801	ENST00000525313 , ENST00000530643	-1.41831015059641	1.77293738058415e-05	5.57637810208651e-05
ENSG00000005801	ENST00000526501 , ENST00000526601	1.13589100570651	1.39500853688632e-08	2.17333804530366e-07
ENSG00000005801	ENST00000526501 , ENST00000528796	0.221505711545645	0.00377303716265093	0.00595776476002001
ENSG00000005801	ENST00000526501 , ENST00000530643	0.014321192057831	0.737258319796418	0.761205163252322
ENSG00000005801	ENST00000526601 , ENST00000528796	-0.914385294160867	8.94907256300157e-08	8.4217391832565e-07
ENSG00000005801	ENST00000526601 , ENST00000530643	-1.12156981364868	9.65984366893891e-08	8.93862117721528e-07
ENSG00000005801	ENST00000528796 , ENST00000530643	-0.207184519487814	0.00474534356134914	0.00733450771456936
ENSG00000006210	ENST00000006053 , ENST00000563383	-0.0133976595404994	0.877007010648713	0.889389090908262
ENSG00000006210	ENST00000006053 , ENST00000564948	2.06811126545904	9.08904937349781e-10	3.54323031198936e-08
